OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.2040,αΐεις,ἀΐεις,proposed,
urn:cite:hmt:normalized.1792,αιθερος,αἰθέρος,proposed,
urn:cite:hmt:normalized.1803,αιθέρος,αἰθέρος,proposed,
urn:cite:hmt:normalized.1846,αιθηρ,αἰθήρ,proposed,
urn:cite:hmt:normalized.1695,αῖμα,αἷμα,proposed,
urn:cite:hmt:normalized.1310,αίματι,αἵματι,proposed,
urn:cite:hmt:normalized.1075,αίνυτο,αἴνυτο,proposed,
urn:cite:hmt:normalized.1834,αιόλοι,αἰόλοι,proposed,
urn:cite:hmt:normalized.430,αίρει,αἵρει,proposed,
urn:cite:hmt:normalized.2119,αισθόμενοι,αἰσθόμενοι,proposed,
urn:cite:hmt:normalized.864,αἰσχρον,αἰσχρόν,proposed,
urn:cite:hmt:normalized.339,αιτίαν,αἰτίαν,proposed,
urn:cite:hmt:normalized.1921,αιτιατικῃ,αἰτιατικῇ,proposed,
urn:cite:hmt:normalized.396,αιτιατικὴν,αἰτιατικὴν,proposed,
urn:cite:hmt:normalized.1348,αιτιατικῆς,αἰτιατικῆς,proposed,
urn:cite:hmt:normalized.865,αἰτιατικης,αἰτιατικῆς,proposed,
urn:cite:hmt:normalized.547,αῖψα,αἶψα,proposed,
urn:cite:hmt:normalized.1440,ἀκηκοεν,ἀκήκοεν,proposed,
urn:cite:hmt:normalized.1702,ἀκμητες,ἀκμῆτες,proposed,
urn:cite:hmt:normalized.27,ακίδος,ἀκίδος,proposed,
urn:cite:hmt:normalized.594,ακίδος,ἀκίδος,proposed,
urn:cite:hmt:normalized.314,ακόλουθον,ἀκόλουθον,proposed,
urn:cite:hmt:normalized.2276,άκοντας,ἄκοντας,proposed,
urn:cite:hmt:normalized.2156,άκοντες,ἄκοντες,proposed,
urn:cite:hmt:normalized.1046,ακοντισε,ἀκόντισε,proposed,
urn:cite:hmt:normalized.2234,ακονῶν,ἀκονῶν,proposed,
urn:cite:hmt:normalized.26,ακούειν,ἀκούειν,proposed,
urn:cite:hmt:normalized.1847,άκουον,ἄκουον,proposed,
urn:cite:hmt:normalized.1920,άκουσαν,ἄκουσαν,proposed,
urn:cite:hmt:normalized.2238,ακριβής,ἀκριβής,proposed,
urn:cite:hmt:normalized.2128,ακριβῶς,ἀκριβῶς,proposed,
urn:cite:hmt:normalized.1017,ακροτάτῃ,ἀκροτάτῃ,proposed,
urn:cite:hmt:normalized.2012,άλα,ἅλα,proposed,
urn:cite:hmt:normalized.1463,ἀλαλκων,ἀλαλκών,proposed,
urn:cite:hmt:normalized.1838,αλέγιζε,ἀλέγιζε,proposed,
urn:cite:hmt:normalized.2066,αλεῖς,ἀλεῖς,proposed,
urn:cite:hmt:normalized.1666,άλεισον,ἄλεισον,proposed,
urn:cite:hmt:normalized.2067,άλεν,ἄλεν,proposed,
urn:cite:hmt:normalized.1104,αλὶ,ἁλὶ,proposed,
urn:cite:hmt:normalized.2197,άλιον,ἅλιον,proposed,
urn:cite:hmt:normalized.2178,ἀλλ,ἀλλ',proposed,
urn:cite:hmt:normalized.2308,αλλά,ἀλλά,proposed,
urn:cite:hmt:normalized.1127,αλλα,ἀλλά,proposed,
urn:cite:hmt:normalized.1122,ἀλλα,ἀλλά,proposed,
urn:cite:hmt:normalized.424,ἀλλα,ἀλλὰ,proposed,
urn:cite:hmt:normalized.1590,αλλαχοῦ,ἀλλαχοῦ,proposed,
urn:cite:hmt:normalized.1093,αλλήλοις,ἀλλήλοις,proposed,
urn:cite:hmt:normalized.1872,αλλήλοισιν,ἀλλήλοισιν,proposed,
urn:cite:hmt:normalized.1370,άλλης,ἄλλης,proposed,
urn:cite:hmt:normalized.1444,αλλης,ἄλλης,proposed,
urn:cite:hmt:normalized.1829,ἄλλησι,ἄλλῃσι,proposed,
urn:cite:hmt:normalized.1372,αλλοι,ἄλλοι,proposed,
urn:cite:hmt:normalized.804,ἀλλοι,ἄλλοι,proposed,
urn:cite:hmt:normalized.1421,άλλοις,ἄλλοις,proposed,
urn:cite:hmt:normalized.397,αλὸς,ἁλὸς,proposed,
urn:cite:hmt:normalized.2011,αλοωνται,ἀλόωνται,proposed,
urn:cite:hmt:normalized.1195,αλλου,ἄλλου,proposed,
urn:cite:hmt:normalized.849,άλλου,ἄλλου,proposed,
urn:cite:hmt:normalized.1394,άλλους,ἅλλους,proposed,
urn:cite:hmt:normalized.1324,αλλοφύλων,ἀλλοφύλων,proposed,
urn:cite:hmt:normalized.1047,αλλω,ἀλλῷ,proposed,
urn:cite:hmt:normalized.1445,αλοία,ἀλοία,proposed,
urn:cite:hmt:normalized.1321,ἀλλω,ἄλλῳ,proposed,
urn:cite:hmt:normalized.2292,άμα,ἅμα,proposed,
urn:cite:hmt:normalized.1731,αμαλδύνας,ἀμαλδύνας,proposed,
urn:cite:hmt:normalized.1871,άμαρτε,ἅμαρτε,proposed,
urn:cite:hmt:normalized.1226,ἀμεῖσθαι,ἀμᾶσθαι,proposed,
urn:cite:hmt:normalized.850,άμεινον,ἄμεινον,proposed,
urn:cite:hmt:normalized.2139,αμέτρητον,ἀμέτρητον,proposed,
urn:cite:hmt:normalized.1821,ἀμφ,ἀμφ',proposed,
urn:cite:hmt:normalized.1786,αμφίβολον,ἀμφίβολον,proposed,
urn:cite:hmt:normalized.1626,αμφότερα,ἀμφοτέρα,proposed,
urn:cite:hmt:normalized.398,αμφοτέροισι,ἀμφοτέροισι,proposed,
urn:cite:hmt:normalized.1540,αμφοτέροισιν,ἀμφοτέροισιν,proposed,
urn:cite:hmt:normalized.1301,αμφοτέρων,ἀμφοτέρων,proposed,
urn:cite:hmt:normalized.1106,αμφοτέρους,ἀμφοτέρους,proposed,
urn:cite:hmt:normalized.1105,αμάδις,ἀμάδις,proposed,
urn:cite:hmt:normalized.2068,αμαιμάκετος,ἀμαιμάκετος,proposed,
urn:cite:hmt:normalized.1207,αμύμονας,ἀμύμονας,proposed,
urn:cite:hmt:normalized.132,άμμι,ἄμμι,proposed,
urn:cite:hmt:normalized.2199,ἀμογητι,ἀμογητί,proposed,
urn:cite:hmt:normalized.1830,αμφ,ἀμφ',proposed,
urn:cite:hmt:normalized.304,ἀμφ',ἀμφί,proposed,
urn:cite:hmt:normalized.158,ἀμφι,ἀμφί,proposed,
urn:cite:hmt:normalized.493,ἀμφι,ἀμφὶ,proposed,
urn:cite:hmt:normalized.1740,ἀμφοτερων,ἀμφοτέρων,proposed,
urn:cite:hmt:normalized.790,αν,ἂν,proposed,
urn:cite:hmt:normalized.860,αν,ἄν,proposed,
urn:cite:hmt:normalized.124,άν,ἄν,proposed,
urn:cite:hmt:normalized.68,ἀν,ἂν,proposed,
urn:cite:hmt:normalized.1379,ἀν,ἄν,proposed,
urn:cite:hmt:normalized.531,ἀν,ἄν,proposed,
urn:cite:hmt:normalized.693,ὰν,ἂν,proposed,
urn:cite:hmt:normalized.277,ἀνα,ἀνὰ,proposed,
urn:cite:hmt:normalized.740,ανά,ἀνά,proposed,
urn:cite:hmt:normalized.1203,Αναγυρῳ,Ἀναγύρῳ,proposed,
urn:cite:hmt:normalized.1565,ἀναδιπλασιασμος,ἀναδιπλασιασμός,proposed,
urn:cite:hmt:normalized.399,αναγκαῖον,ἀναγκαῖον,proposed,
urn:cite:hmt:normalized.327,ἀναγνωσιν,ἀνάγνωσιν,proposed,
urn:cite:hmt:normalized.1274,ἀναγνωστεον,ἀναγνωστέον,proposed,
urn:cite:hmt:normalized.1276,ἀναγνωστεον,ἀναγνωστέον,proposed,
urn:cite:hmt:normalized.1081,αναιδες,ἀναιδές,proposed,
urn:cite:hmt:normalized.2137,αναιδέστατε,ἀναιδέστατε,proposed,
urn:cite:hmt:normalized.1208,αναθεματικοὺς,ἀναθηματικούς,proposed,
urn:cite:hmt:normalized.2282,ανάλογον,ἀνάλογον,proposed,
urn:cite:hmt:normalized.646,ἀναπλήσης,ἀναπλήσῃς,proposed,
urn:cite:hmt:normalized.1516,αναστρεπτέον,ἀναστρεπτέον,proposed,
urn:cite:hmt:normalized.1279,αναστρέφονται,ἀναστρέφονται,proposed,
urn:cite:hmt:normalized.1578,ἀναστας,ἀναστᾶς,proposed,
urn:cite:hmt:normalized.2226,αναφορᾶς,ἀναφορᾶς,proposed,
urn:cite:hmt:normalized.371,ἀνδάνω,ἁνδάνω,proposed,
urn:cite:hmt:normalized.1827,ανδρας,ἄνδρας,proposed,
urn:cite:hmt:normalized.2127,ἀνδροκμητω, ἀνδροκμήτῳ,proposed,
urn:cite:hmt:normalized.1676,ανδρομάχῃ,ἀνδρομάχῃ,proposed,
urn:cite:hmt:normalized.2126,ανδρὸς,ἀνδρὸς,proposed,
urn:cite:hmt:normalized.1526,ἀνδρων,ἀνδρών,proposed,
urn:cite:hmt:normalized.1854,ανέμῳ,ἀνέμῳ,proposed,
urn:cite:hmt:normalized.151,ἀνῄνηται,ἀνήνηται,proposed,
urn:cite:hmt:normalized.242,ἀνῄνηται,ἀνήνηται,proposed,
urn:cite:hmt:normalized.1527,ἀνηρ,ἀνήρ,proposed,
urn:cite:hmt:normalized.1164,ἀνισταμενος,ἀνιστάμενος,proposed,
urn:cite:hmt:normalized.2191,ανδρα,ἄνδρα,proposed,
urn:cite:hmt:normalized.1311,ανδράσι,ἀνδράσι,proposed,
urn:cite:hmt:normalized.1312,ανδρεῖος,ἀνδρεῖος,proposed,
urn:cite:hmt:normalized.2057,άνδρες,ἄνδρες,proposed,
urn:cite:hmt:normalized.861,ανδρῶν,ἀνδρῶν,proposed,
urn:cite:hmt:normalized.2062,ανέμοις,ἀνέμοις,proposed,
urn:cite:hmt:normalized.1350,ανερας,ἀνέρας,proposed,
urn:cite:hmt:normalized.2086,ανεφερέτο,ἀνεφερέτο,proposed,
urn:cite:hmt:normalized.2275,ανήγαγεν,ἀνήγαγεν,proposed,
urn:cite:hmt:normalized.2056,ανηκόντισσεν,ἀνηκόντισσεν,proposed,
urn:cite:hmt:normalized.2112,ἀνηρτηντο,ἀνήρτηντο,proposed,
urn:cite:hmt:normalized.2187,ανθρωπίνης,ἀνθρωπίνης,proposed,
urn:cite:hmt:normalized.1988,αντέσχε,ἀντέσχε,proposed,
urn:cite:hmt:normalized.28,αντι,ἀντὶ,proposed,
urn:cite:hmt:normalized.2141,ἀντι,ἀντί,proposed,
urn:cite:hmt:normalized.1918,αντιθέῳ,ἀντιθέῳ,proposed,
urn:cite:hmt:normalized.1391,αντίον,ἀντίον,proposed,
urn:cite:hmt:normalized.1885,ἀντιος,ἀντίος,proposed,
urn:cite:hmt:normalized.1455,αντιταξάμενος,ἀντιταξάμενος,proposed,
urn:cite:hmt:normalized.739,αντωνυμία,ἀντωνυμίᾳ,proposed,
urn:cite:hmt:normalized.320,αντωνυμίαν,ἀντωνυμίαν,proposed,
urn:cite:hmt:normalized.862,αντωνυμιῶν,ἀντωνυμιῶν,proposed,
urn:cite:hmt:normalized.1785,ἀνω,ἄνω,proposed,
urn:cite:hmt:normalized.2106,άξια,ἄξια,proposed,
urn:cite:hmt:normalized.1967,άξιον,ἄξιον,proposed,
urn:cite:hmt:normalized.2208,άξιος,ἄξιος,proposed,
urn:cite:hmt:normalized.133,άξω,ἄξω,proposed,
urn:cite:hmt:normalized.1315,αόρων,ἀόρων,proposed,
urn:cite:hmt:normalized.1941,ἀπ,ἀπ',proposed,
urn:cite:hmt:normalized.1088,ἁπλην,ἁπλῆν,proposed,
urn:cite:hmt:normalized.448,ἀπαρεμφατον,ἀπαρέμφατον,proposed,
urn:cite:hmt:normalized.2283,απέβαλεν,ἀπέβαλεν,proposed,
urn:cite:hmt:normalized.2065,ἀνέλθη,ἀνέλθῃ,proposed,
urn:cite:hmt:normalized.2261,απεδίδου,ἀπεδίδου,proposed,
urn:cite:hmt:normalized.2281,ἀπέλθη,ἀπέλθῃ,proposed,
urn:cite:hmt:normalized.1003,ἀπηντηκεν,ἀπήντηκεν,proposed,
urn:cite:hmt:normalized.2209,απηρνεῖτο,ἀπηρνεῖτο,proposed,
urn:cite:hmt:normalized.2072,απιθάνως,ἀπιθάνως,proposed,
urn:cite:hmt:normalized.497,απο,ἀπὸ,proposed,
urn:cite:hmt:normalized.53,ἀπο,ἀπό,proposed,
urn:cite:hmt:normalized.533,ἀποβαλλειν,ἀποβάλλειν,proposed,
urn:cite:hmt:normalized.922,ἀποβαλων,ἀποβαλών,proposed,
urn:cite:hmt:normalized.949,ἀποφυγην,ἀποφυγήν,proposed,
urn:cite:hmt:normalized.572,ἀποκοπῆ,ἀποκοπῇ,proposed,
urn:cite:hmt:normalized.1640,ἀπολεσθαι,ἀπολέσθαι,proposed,
urn:cite:hmt:normalized.1004,ἀπολλυμενων,ἀπολλυμένων,proposed,
urn:cite:hmt:normalized.648,ἀπονεμων,ἀπονέμων,proposed,
urn:cite:hmt:normalized.805,ἀποπεσῃ,ἀποπέσῃ,proposed,
urn:cite:hmt:normalized.1905,ἀποτελουμενην,ἀποτελουμένην,proposed,
urn:cite:hmt:normalized.1866,ἀποφύγη,ἀποφύγῃ,proposed,
urn:cite:hmt:normalized.1643,άπτεται,ἅπτεται,proposed,
urn:cite:hmt:normalized.459,απατᾷ,ἀπατᾷ,proposed,
urn:cite:hmt:normalized.315,απέδῳ,ἀπέδῳ,proposed,
urn:cite:hmt:normalized.629,απεκομίζετο,ἀπεκομίζετο,proposed,
urn:cite:hmt:normalized.2140,απεκρούσθη,ἀπεκρούσθη,proposed,
urn:cite:hmt:normalized.1531,απιθανως,ἀπιθάνως,proposed,
urn:cite:hmt:normalized.321,απλῆν,ἁπλῆν,proposed,
urn:cite:hmt:normalized.1465,αποβεβλῆσθαι,ἀποβεβλῆσθαι,proposed,
urn:cite:hmt:normalized.1959,απόλαυσιν,ἀπόλαυσιν,proposed,
urn:cite:hmt:normalized.630,απολειται,ἀπολεῖται,proposed,
urn:cite:hmt:normalized.1128,αποπειρᾶται,ἀποπειρᾶται,proposed,
urn:cite:hmt:normalized.2121,ἀποτελούση,ἀποτελούσῃ,proposed,
urn:cite:hmt:normalized.1728,αποφυγὴν,ἀποφυγὴν,proposed,
urn:cite:hmt:normalized.1873,αρ,ἂρ',proposed,
urn:cite:hmt:normalized.1775,άρ',ἄρ',proposed,
urn:cite:hmt:normalized.1744,ὰρ',ἂρ',proposed,
urn:cite:hmt:normalized.1798,ὰρ,ἂρ,proposed,
urn:cite:hmt:normalized.127,άρ,ἄρ,proposed,
urn:cite:hmt:normalized.1495,άρας,ἄρας,proposed,
urn:cite:hmt:normalized.928,ἀρα,ἀρὰ,proposed,
urn:cite:hmt:normalized.62,άρα,ἄρα,proposed,
urn:cite:hmt:normalized.2150,αργος,ἄργος,proposed,
urn:cite:hmt:normalized.1812,αργύρεος,ἀργύρεος,proposed,
urn:cite:hmt:normalized.1227,ἀρεσάμενοι,ἀρεσσάμενοι,proposed,
urn:cite:hmt:normalized.29,αρέσκει,ἀρέσκει,proposed,
urn:cite:hmt:normalized.2174,άρετ',ἄρετ',proposed,
urn:cite:hmt:normalized.1711,ἀρετῆ,ἀρετῇ,proposed,
urn:cite:hmt:normalized.316,αρηγών,ἀρηγών,proposed,
urn:cite:hmt:normalized.310,άρκιος,ἄρκιος,proposed,
urn:cite:hmt:normalized.1608,αριστερὰ,ἀριστερὰ,proposed,
urn:cite:hmt:normalized.2229,ἀριστευῃσι,ἀριστεύῃσι,proposed,
urn:cite:hmt:normalized.1776,ἀριστους,ἀρίστους,proposed,
urn:cite:hmt:normalized.1103,άρκτου,ἄρκτου,proposed,
urn:cite:hmt:normalized.1131,άρκτου,ἄρκτου,proposed,
urn:cite:hmt:normalized.1789,αρματων,ἁρμάτων,proposed,
urn:cite:hmt:normalized.1917,αρμόζει,ἁρμόζει,proposed,
urn:cite:hmt:normalized.159,άροσιν,ἄροσιν,proposed,
urn:cite:hmt:normalized.251,άροσιν,ἄροσιν,proposed,
urn:cite:hmt:normalized.1799,άρουραν,ἄρουραν,proposed,
urn:cite:hmt:normalized.477,ἀρσενικως,ἀρσενικῶς,proposed,
urn:cite:hmt:normalized.2211,άρτου,ἄρτου,proposed,
urn:cite:hmt:normalized.1897,αρχαϊκῆς,ἀρχαϊκῆς,proposed,
urn:cite:hmt:normalized.2218,ἀρχαιοι,ἀρχαῖοι,proposed,
urn:cite:hmt:normalized.741,αρχαίοι,ἀρχαῖοι,rejected,
urn:cite:hmt:normalized.1569,άρχεται,ἄρχεται,proposed,
urn:cite:hmt:normalized.1874,αρχῇ,ἀρχῇ,proposed,
urn:cite:hmt:normalized.1100,ἀρχῆ,ἀρχῇ,proposed,
urn:cite:hmt:normalized.356,αρχὴν,ἀρχὴν,proposed,
urn:cite:hmt:normalized.2153,ᾶσαι,ἆσαι,proposed,
urn:cite:hmt:normalized.1710,ασήμου,ἀσήμου,proposed,
urn:cite:hmt:normalized.1496,άσηπτα,ἄσηπτα,proposed,
urn:cite:hmt:normalized.2093,ασμένως,ἀσμένως,proposed,
urn:cite:hmt:normalized.1802,ασπίδες,ἀσπίδες,proposed,
urn:cite:hmt:normalized.2061,ἀσπιδος,ἀσπίδος,proposed,
urn:cite:hmt:normalized.2133,ασπίδος, ἀσπίδος,proposed,
urn:cite:hmt:normalized.2162,ασπίσι,ἀσπίσι,proposed,
urn:cite:hmt:normalized.841,ἀστερισκος,ἀστερίσκος,proposed,
urn:cite:hmt:normalized.666,αστερίσκος,ἀστερίσκος,proposed,
urn:cite:hmt:normalized.1433,ἀστερος,ἀστέρος,proposed,
urn:cite:hmt:normalized.1904,ἀστεροπην,ἀστεροπὴν,proposed,
urn:cite:hmt:normalized.1783,αστήρ,ἀστήρ,proposed,
urn:cite:hmt:normalized.1977,αστραπή,ἀστραπή,proposed,
urn:cite:hmt:normalized.1906,αστραπὴν,ἀστραπὴν,proposed,
urn:cite:hmt:normalized.1788,ἀστράπτη,ἀστράπτῃ,proposed,
urn:cite:hmt:normalized.1701,άστυ,ἄστυ,proposed,
urn:cite:hmt:normalized.667,ασύνδετα,ἀσύνδετα,proposed,
urn:cite:hmt:normalized.863,ασυμφώνως,ἀσυμφώνως,proposed,
urn:cite:hmt:normalized.2297,ασφαλης,ἀσφαλής,proposed,
urn:cite:hmt:normalized.2029,ᾶτ',ἆτ',proposed,
urn:cite:hmt:normalized.1818,ατὰρ,ἀτὰρ,proposed,
urn:cite:hmt:normalized.449,ἄτοπων,ἀτόπων,proposed,
urn:cite:hmt:normalized.627,ατέλεστα,ἀτέλεστα,proposed,
urn:cite:hmt:normalized.1107,ατλήτω,ἀτλήτω,proposed,
urn:cite:hmt:normalized.1135,ατλήτω,ἀτλήτω,proposed,
urn:cite:hmt:normalized.761,αῦ,αὖ,proposed,
urn:cite:hmt:normalized.1823,αῦα,αὖα,proposed,
urn:cite:hmt:normalized.2060,αῦε,αὖε,proposed,
urn:cite:hmt:normalized.1778,αῦθ',αὖθ',proposed,
urn:cite:hmt:normalized.1373,αῦθι,αὖθι,proposed,
urn:cite:hmt:normalized.1782,αύλιος,αὔλιος,proposed,
urn:cite:hmt:normalized.2132,αὐλοι,αὐλοί,proposed,
urn:cite:hmt:normalized.1822,αῦον,αὖον,proposed,
urn:cite:hmt:normalized.1912,αῦτ',αὖτ',proposed,
urn:cite:hmt:normalized.631,αυταῖς,αὐταῖς,proposed,
urn:cite:hmt:normalized.305,ἀυτὰρ,αὐτὰρ,proposed,
urn:cite:hmt:normalized.87,αῦτε,αὖτε,proposed,
urn:cite:hmt:normalized.2054,αϋτὴ,ἀυτὴ,proposed,
urn:cite:hmt:normalized.1292,αυτῆ,αὐτῇ,proposed,
urn:cite:hmt:normalized.1313,αυτῃ,αὐτῇ,proposed,
urn:cite:hmt:normalized.1541,αυτῇ,ἀυτῇ,proposed,
urn:cite:hmt:normalized.1083,αὐτην,αὐτήν,proposed,
urn:cite:hmt:normalized.1325,αυτήν,αὐτήν,proposed,
urn:cite:hmt:normalized.30,αυτῆς,αὐτῆς,proposed,
urn:cite:hmt:normalized.1082,αυτης,αὐτῇς,proposed,
urn:cite:hmt:normalized.697,αὐτοθεν,αὐτόθεν,proposed,
urn:cite:hmt:normalized.121,αῦτις,αὖτις,proposed,
urn:cite:hmt:normalized.2245,αυτό,αὐτό,proposed,
urn:cite:hmt:normalized.1209,αὐτο,αὐτό,proposed,
urn:cite:hmt:normalized.899,αὐτοις,αὐτοῖς,proposed,
urn:cite:hmt:normalized.331,αυτοῖς,αὐτοῖς,proposed,
urn:cite:hmt:normalized.1627,αυτοῖσι,αὐτοῖσι,proposed,
urn:cite:hmt:normalized.2076,αυτον,αὐτὸν,proposed,
urn:cite:hmt:normalized.1479,αυτόν,αὐτόν,proposed,
urn:cite:hmt:normalized.340,αυτὸν,αὐτὸν,proposed,
urn:cite:hmt:normalized.791,αὐτον,αὐτόν,proposed,
urn:cite:hmt:normalized.1713,αυτὸς,αὐτὸς,proposed,
urn:cite:hmt:normalized.307,ἀυτὸς,αὐτὸς,proposed,
urn:cite:hmt:normalized.549,αυτος,αὐτός,proposed,
urn:cite:hmt:normalized.1795,αυτοὺς,αὐτοὺς,proposed,
urn:cite:hmt:normalized.1811,αυτοφιν,αὐτόφιν,proposed,
urn:cite:hmt:normalized.1971,αυτῶ,αὐτῷ,proposed,
urn:cite:hmt:normalized.1023,αὐτων,αὐτῶν,proposed,
urn:cite:hmt:normalized.1972,αυτων,αὐτῶν,proposed,
urn:cite:hmt:normalized.97,αύτως,αὔτως,proposed,
urn:cite:hmt:normalized.389,αύτως,αὔτως,proposed,
urn:cite:hmt:normalized.401,αύτως,αὕτως,proposed,
urn:cite:hmt:normalized.1907,αυτοτελης,αὐτοτελὴς,proposed,
urn:cite:hmt:normalized.957,αυτου,αὐτοῦ,proposed,
urn:cite:hmt:normalized.460,αυτοῦ,αὑτοῦ,proposed,
urn:cite:hmt:normalized.1549,αυτοχειρὶ,αὐτοχειρὶ,proposed,
urn:cite:hmt:normalized.1022,αυτῶν,αὐτῶν,proposed,
urn:cite:hmt:normalized.550,αυτῶν,αὐτῶν,proposed,
urn:cite:hmt:normalized.1035,αυτῷ,αὐτῷ,proposed,
urn:cite:hmt:normalized.116,αυτῷ,αὐτῷ,proposed,
urn:cite:hmt:normalized.208,αυτῷ,αὐτῷ,proposed,
urn:cite:hmt:normalized.818,αυτῷ,αὐτῷ,proposed,
urn:cite:hmt:normalized.2179,ἁφ,ἁφ',proposed,
urn:cite:hmt:normalized.1366,αφαῖς,ἁφαῖς,proposed,
urn:cite:hmt:normalized.1260,αφαίρεσιν,ἀφαίρεσιν,proposed,
urn:cite:hmt:normalized.1766,άφαρ,ἄφαρ,proposed,
urn:cite:hmt:normalized.2135,αφηρεῖτο, ἀφῃρεῖτο,proposed,
urn:cite:hmt:normalized.720,ἄφηρημένου,ἀφῃρημένου,proposed,
urn:cite:hmt:normalized.2252,αφίει,ἀφίει,proposed,
urn:cite:hmt:normalized.1951,άφρεον,ἄφρεον,proposed,
urn:cite:hmt:normalized.1566,ἀφρον,ἀφρόν,proposed,
urn:cite:hmt:normalized.971,ἀφρος,ἀφρός,proposed,
urn:cite:hmt:normalized.2031,άχειρον,ἄχειρον,proposed,
urn:cite:hmt:normalized.309,ὰψ,ἄψ,proposed,
urn:cite:hmt:normalized.929,ὰψ,ἂψ,proposed,
urn:cite:hmt:normalized.1913,ὰψ',ἂψ',proposed,
urn:cite:hmt:normalized.18,άψορρόν,ἄψορρόν,proposed,
